Cluster,Top Topics (LDA)_Clusters,Top Topics (LDA)_Combined
1,"isolette thermostat ksu single sensor, isolette sensor single ksu thermostat","temp alarm current heater manage, heat sensor thermostat temperature loss"
2,"communication aps architecture apscommunication cloudcomponent, qa connectioninheritance top nameresolution se, isolette sensor dual ksu panel, sender authinaadl check resolute dataflow, cwe aaspe security array success, temperature agree aviationrequirementmodeling cooler heater","pin pout sys tin nestpfg, nan datain dataout apsstakeholder tin, dataport trafficmodule aiscommunication internetaccess ship"
3,"gca aps singleton flying pilot, tank aviate control level isolette","temp status desired alarm upper, mph autospd refspd cruiseactive throttlepos, process first second dataout datain, datain eth gnss dataport dataout, process first second dataout datain, latitude distance longitude outimpact inppc"
4,"aps architecture communication isolette smartparking, temperature aviationrequirementmodeling agree smartparking aviation","req info paymt loca personal, envout sensorsflowpath varspeed sensorscontrol envin, data receive engine state action, asc maindataport dataport backup backupdataport, op ctrl status inf vloc, altitude aoa word discrete baro, park space occupancy update req, temperature alarm monitor regulator failure, timetofailure timetorecovery gca tcas geof, selected weapon radar target body"
5,"cruisecontrol block refuel motor pump, aviationrequirementmodeling tcas singleton aviation single","fpadata rawdata compressed access bus, cc ev gear door retracted, timetofailure timetorecovery link access bus, compressed processing raw output ctrlpart, temperature alarm monitor regulator failure, pc part bustype pp compressed, mph refspd cruiseactive nearestintruderaltitude autospd, th true heading acc set"
6,"dronesystem hybridsynchaadl master rendezvous thesis, hybridsynchaadl environment dronecontrol thesis rendezvous","accx accy currvx currvy curry, d2 d1 door warn info, doty dotx vely velx dotdoty, cy cx vy vx ox, currx curry vely velx inx"
7,"ctrl plugin lab csci adventium, temperature agree aviationrequirementmodeling temp control, controller ucubesat package limited pid, arch model example exemplo top","fg write masterdb update read, psi comm dot pre dm, vb sub nan thebus fg, speed detected failure desired inc, th altitude true speed heading, tempin temp user enabled request, env radiation pressure shutdown sensor, po probe status cmd health"
8,"r4 correct aaspe security ftatest, security aaspe incorrect r5 cwe","pe pd nan d2 d1, pr f2 f1 d1 d2"
9,"home smart arch client thermostat, ex air remoteserver control panel","limit alarm warning patient soft, battery desired auto voltage mode, handle general ev pin pout, switch traffic sensor signal nb, status control plugin command current, e2 pt p1 bluetout screenkeyborad, alarm camera motion video magnetic, data sender receiver mcr client, rin pout qin sin rout, ap vp lead ddd ventricular"
10,"security aaspe r1 arch generator, qa issue test receiver subcompo","emergencysignal emergencynotification emergencysignalreceived emergencysignalout emergencysignalin, nan infeat outfeat sc outdataport"
11,"fullspeed iplprojects task tasklibrary simple, view wempty tasklibrary task iplprojects",
12,"polyorb hi producer consumer scenario, scenario consumer producer ocarina hi",
13,"device test missing property translator, translator ball tispsys smartparkingsystem simplecapnograph","d1 status re data capnograph, gyro magneto motor accelero data, status re d1 data capnograph, data camera linuxos uav status, status re d1 data capnograph, status re d1 data capnograph, status re d1 data capnograph, rse data sub signal wsp, setting re status req prescriptiondosesettings, spo metric pub re sponum"
14,"scenario type polyorb hi, hi polyorb type scenario",
15,"test subcompo qa issue cpptest, scenario hi polyorb flight management",
16,"cmpare model mece learning mecelearningsystem, toll collection integration model xdl","send get info reply req, temperature port alarm monitor heat, test nan di bi ci, get exchange send knowledge edit, positionsetpoint actuatorcommand nan fg f2, get user name product seller, ce sr clk diffo shiftin, paymnt toll payment rqst veh, engine generatordc statusout maincomputer powersupply, cm config dm plan rep"
17,"toll collection electronictollcollection rap ocarina, isolette model bless scenario ksu","xfr port signalout startup emergencyshutdown, toll paymnt data card veh, selected weapon radar target body, info req traveler update paymt, data send read proc unavoidable, roadsideinforeception locationinfo vehiclesignage envdata environmentmontior, cm gateway config au ac, temperature alarm monitor port desired, parsecmd data fretime sgncc eonoff, paymnt pers acc user traveller"
18,"qa imp aircraft functional bugplat, modelagemaadl resourcebudgets exemplo tier sc","actuatorout sensorin canbusaccess potencia dca, potencia canbusaccess actuatorout sensorin dc, sc nan s1 exhaustsystem exhaustoutput, isfailing sys thrust stability spoiler, b1 s1 s2 nan exhaustmanifold, power sensorin canbusaccess actuatorout sensorout"
19,"model networking refmodel arch afdx, aaspe security singletier crazyflie hardware, resourcebudgets modelagemaadl sc tier dc","pci afdx tte bus cpu, part mem thebus sensorin process, bus power supply clock mtm, power sensorin canbusaccess pci actuatorout, socket access wifi cellular ihs, pciba canba ram canbus cpu"
20,"qa issue imp bus emv, security aaspe r0 r6 correct","mybus b2 b1 nan ba, p1 p0 nan controller membus"
21,"dual dist ada polyorb hi, test qa refined impl package","bus access comp proc pb, bus comp proc access pb, heat configuration bus temperature current, db pb cpu cpubus bus, bus sub access hw collection, bus access comp proc pb, card connector shared right memory"
22,"aaspe security cwe integration r7, pilot flying drone using deformation","datain dataout nan snd mid, node outport s2 s1 rcv, tsn power tr sw m7, pfs risets riseospf pfsl ospf, dataout datain thebus receiver sender"
23,"issue qa errormodelv fgs app, drone inspect network structural deformation","port process subthread application software, outport inport fromapport ap ac, mph sub refspd method throttlepos"
24,"qa top basic connname flowspeclat, ocarina qa s2 issue test","inp outp p1 t1 t2, nan outp inp mysrc mysink"
25,"rma scenario polyorb hi, hi polyorb scenario rma",
26,"layer software clientserver networking refmodel, aps architecture communication asc ism","veth et siem teamedeth nicteaming, conn database api request backend, rse data ecsp smp tmp, asc dataport maindataport veth backup, process edport sp spg datap, sin sout qin qout nan"
27,"native ada polyorb hi case, aps communication architecture navigationsystem rcc","eth dataport controlport spu radar, eth asc maindataport dataport veth, external interrupt depository eth workload, aiscommunication wirelessport rcccommunication cpal operation"
28,"ping scenario hi polyorb 11, 13 polyorb hi scenario ping",
29,"test issue qa ocarina spg, test designer demo spg ocarina",
30,"ocarina t9, t9 ocarina","e1 s3 e2 s2 s1, e1 s1 s2 e2 s3"
31,"mapa iplprojects map mapb, map iplprojects mapb mapa","edge l4 l1 l2 l3, l8 l6 l5 l7 l3"
32,"polyorb hi scenario d3 duplicate, ocarina xml test output qa",
33,"scenario sunseeker polyorb hi, hi polyorb sunseeker scenario",
34,"isolette sensor ksu single dual, isolette dual ksu sensor single",
35,"rma test ocarina erc rmaaadl, hi polyorb rmaaadl rma lua, local polyorb hi type sunseekercontrolsystem","p3 thread p1 p2 per, step commanded po order user"
36,"ping aaspe sel pong polyorb, ocarina hello test qa root","port con prod runtime data, ev cpu ping pong pingpong, initcomplete rttobcmsg mrttobcmsg cpu ebus, order actuatorcommand pr need semaphore, data cpu source sink node, part mem thebus process sensorin, value cpu update cmd tempvalue, share bus donnees camera radio, reqdataset dataset req share cpu"
37,"faceaadl integration model integrationmodel selectedintegrationmodel, model integration faceaadl merged im","thread input output channel transporter, input output channel thread viewsink, altitude input output autopilot sensor, port response request pcsinstance usedpcs, thread input output channel transporter, thread input output channel transporter, thread input output channel transporter, input output thread transporter channel, conn platformspecificcomponent uopinstance response request, altitude input output thread autopilot"
38,"qa arch issue smarthome thermostat, test fault complete tree osate","ba mix framework fin fout, actuatorcommand usb sm fv nan, appliance control configuration busdata sensor, pb pd pc digital gnd, oute gps ine device status, temp desired bus auto access, ba mix framework fin fout, fg sen fgp fgpp fgs"
39,"quadrirotorv device foo bar model, paparazzo emaxxv device task interruption","alarm ack fan temp cmd, car gate plate loop thread, input data output bus th, wire serial meas manager proc, ip tpd credit travlr intrfc, bus power access motion sys, data collision sensor unavoidable avoidable, wheel rear speed current bus, bus access bad modul bap, data bus camera img cash"
40,"errormodelv dhsystem device redundant se, integration car driving self radar","data reconfiguration power status req, speed distance result current sensor, cm ba signal rep plan, rate bus packet syslink pwm, output input data bus th, a1 uart ta alb effect, cc po net dist cpu, node runtime secret unclassified topsecret, dm sensor sw al hum, valuein valueout signalport a0 s0"
41,"model bless example iomtwin imp, aps fm uav coffeemachine network","dp servo lin rin di, appli icb acq aocs pf, gpiobusdata coffee container sensor water, ph apex th access afdx, acc po angle ic position, coffeemachine hand eye finger user, state gpu gps cpu making, recv send status data hw, atr filter cci mark av, alarm echo po rm pause"
42,"flowlatencysampleddata application topsystem allperiodicsampled alldatadriven, pulseox forwarding imp translator model","outed ined tstep compute db, spo alarm derivedalarm checkspothread handlealarmthread, lead sense lrl pace vrp, spo respiratoryrate etco deviceerror updatespothread, xl ca brake sb eb"
43,"ipca example isolette sensor operation, vehicle isolette interface il ocarina","drug log bus rate alarm, child f1 f2 fg f3, command disengage engage ba data, drug patient limit rate infusion, data input controller output frequency, heat position control wakeup observation"
44,"adiru example ocarina security car, dca resourcebudgets tier modelagemaadl tempcontrolsoftwaresystem","exhaustmanifold exhaustoutput exhaustsystem powertrain receiver, currenttemp tempchanged setpoint fanack fancmd, mph refspd cancel cruiseactive server, m3 m2 m1 cpu process, key text operation label algorithm, sensorin actuatorout senseout samplingin controlin, external interrupt depository additional workload, rse data thread wateralarm methanelevel, acc input accdata event dataout, filter th capteur proc gauche"
