Cluster,Top 10 Words (TF-IDF),Scores
1,"isolette, ksu, sensor, single, thermostat","2.3687627434204352, 0.8957062371154048, 0.8957062371154048, 0.8957062371154048, 0.539023509507965"
2,"qa, aps, apscommunication, architecture, communication, top, connectioninheritance, aaspe, cwe, security","1.731999608140545, 1.5952646799860888, 1.5952646799860888, 1.5952646799860888, 1.5952646799860888, 1.5469450113098535, 1.1656162164824995, 0.8327861926803916, 0.8327861926803916, 0.8327861926803916"
3,"isolette, aps, aviate, control, level, interface, ksu, operator, architecture, communication","1.5118578920369088, 1.3586126297981655, 1.0690449676496976, 1.0690449676496976, 1.0690449676496976, 0.7559289460184544, 0.7559289460184544, 0.7559289460184544, 0.6793063148990828, 0.6793063148990828"
4,"smartparking, aps, architecture, communication, speedwrisic, isolette, qa, vtv, backup, ksu","5.17069863380968, 3.6262767171012293, 2.320003753809199, 2.320003753809199, 1.901091393327175, 1.787595456109906, 1.3674466849379403, 1.3331643532907604, 1.2215286044732054, 1.0892420401024745"
5,"block, tcas, aviationrequirementmodeling, cruisecontrol, aviation, supervised, ocarina, designer, link, management","2.0233048675202934, 1.8514693749619626, 1.7568313805516151, 1.601155504140587, 1.2245471596886812, 1.2245471596886812, 1.0, 0.9004960837377614, 0.8963029411239289, 0.8963029411239289"
6,"dronecontrol, environment, hybridsynchaadl, drone, master, rendezvous, thesis, dronesystem, fourdronessystem, refdrone","4.503814820249775, 4.503814820249775, 3.6870099159460192, 3.5855304909630905, 3.2114501997720812, 3.2114501997720812, 3.2114501997720812, 2.660739361214052, 0.9879786156436884, 0.8857943674948814"
7,"ctrl, temperature, adventium, csci, gumbo, lab, plugin, agree, aviationrequirementmodeling, bus","3.189279844520495, 2.7430389774302113, 2.0583688411769065, 2.0583688411769065, 2.0583688411769065, 2.0583688411769065, 2.0583688411769065, 1.8209965995957302, 1.8209965995957302, 1.5"
8,"aaspe, security, incorrect, r5, cwe, correct, requirement, timing, model, peterexample","4.8935241527339945, 4.8935241527339945, 3.8688493186412583, 3.825769037430277, 3.4832865219685107, 1.944639135168186, 1.7753210309104284, 1.7753210309104284, 0.7071067811865476, 0.7071067811865476"
9,"home, smart, air, ex, arch, client, ocarina, maincontrolrouter, remoteserver, model","4.1322410718068845, 3.867426435729559, 3.8618198077331725, 3.8618198077331725, 2.599203065144822, 2.160370453212529, 1.9047738891081827, 1.7442908947681293, 1.7442908947681293, 1.7043379167064026"
10,"aaspe, security, r1, qa, correct, test, incorrect, cwe, impl, implementation","1.8116699831236343, 1.8116699831236343, 1.6094830051607125, 1.496600990617511, 1.1176484700297311, 0.810305853129952, 0.6555265188957107, 0.6316360752312096, 0.6295652196782174, 0.6295652196782174"
13,"device, translator, noninpulseox, simplecapnograph, simplepca, smartparkingsystem, tispsys, abstract, test, crazyflie","1.8356786342217144, 1.1089647591728757, 0.965813478635421, 0.965813478635421, 0.965813478635421, 0.9468184012033938, 0.9468184012033938, 0.9178393171108572, 0.9178393171108572, 0.8017837257372732"
16,"cmpare, model, bless, integration, mecelearningsystem, positioncontrol, positioncontrolsystem, learning, mece, imp","2.8791443310552625, 2.7183110806953517, 1.570482421794992, 1.4731640098074443, 1.430521358053332, 1.3367906927594913, 1.3367906927594913, 1.3017500353575424, 1.3017500353575424, 1.148293368524011"
17,"rap, toll, collection, electronictollcollection, isolette, dhsystem, bless, ksu, model, sensor","3.7299962214476614, 3.1600687207273435, 2.5921649802983584, 2.5921649802983584, 2.023165594263017, 1.5418854577338452, 1.3703225996561759, 1.3703225996561759, 1.3703225996561759, 1.3703225996561759"
18,"modelagemaadl, exemplo, resourcebudgets, sc, dc, tier, mysystem, singletier, qa, sistema","6.725954424536495, 5.239763693845432, 4.797665340566934, 4.149934484133436, 3.9900227675819426, 3.9098407331369947, 2.40382066100973, 2.372278572768383, 2.30074058853443, 2.295802497123073"
19,"resourcebudgets, modelagemaadl, sc, tier, dc, example, model, platform, dualtier, singletier","11.435330649822657, 10.682049387577395, 6.525435540090625, 6.37622436750479, 6.333388271801139, 5.856050386760976, 5.672726790559506, 5.1228659622758395, 4.803951539933294, 4.803951539933294"
20,"aaspe, security, r0, r6, issue, qa, correct, incorrect, sa, ocarina","2.616294681303821, 2.616294681303821, 1.7838208749491147, 1.7838208749491147, 1.6699650225237481, 1.6699650225237481, 1.2390862266282061, 1.2390862266282061, 0.7249810421043258, 0.7071067811865476"
21,"test, impl, package, qa, refined, dual, flowlatencysampleddata, hardwareplatform, hardware, powerpc","4.134587190133234, 2.067293595066617, 2.067293595066617, 2.067293595066617, 2.067293595066617, 1.3093277667461642, 1.145609598894366, 1.145609598894366, 0.8824931383770109, 0.8824931383770109"
22,"aaspe, security, cwe, integration, success, r7, fail, failure, float, flying","5.165047867955522, 5.165047867955522, 3.9329152431675594, 3.6199562033891404, 3.6137527630977972, 3.5455736050430025, 1.869386629909989, 1.7913254105581946, 1.2741612472303296, 1.039120217956722"
23,"issue, qa, errormodelv, fgs, app, deformation, drone, inspect, network, structural","2.036429636916574, 2.036429636916574, 1.8643544877276041, 1.5937675929826431, 1.3311696921513656, 0.9311126323400298, 0.9311126323400298, 0.9311126323400298, 0.9311126323400298, 0.9311126323400298"
24,"qa, issue, ocarina, basic, top, connectiontiming, s2, connname, flowspeclat","2.2255181765760033, 1.676831893429147, 1.638708548356219, 1.0161474775534804, 1.0161474775534804, 0.8800467299778363, 0.7694487573949885, 0.6120737039967666, 0.6120737039967666"
26,"aps, architecture, communication, rcc, ism, networkandsystemmanagement, asc, qa, clientserver, 15","3.5312776458398014, 2.205828171445072, 2.1312031444349273, 1.1137529375441944, 1.0900716539100919, 1.0900716539100919, 1.0663903702759894, 0.9632844848193516, 0.7559289460184545, 0.7071067811865475"
27,"aps, architecture, communication, navigationsystem, apscommunication, rcc, withredundancy, controlcomputer, native, backup","4.495486286964645, 2.9859011839268463, 2.9859011839268463, 1.8882427633694316, 1.6918885079556132, 1.6114838291018339, 1.483523027438745, 1.1573796152845266, 1.0599302772785806, 1.0339919595524873"
30,ocarina,1.0
31,"map, iplprojects, mapa, mapb","4.32962348000842, 2.5407690980085884, 0.8469428138456193, 0.8469428138456193"
35,"torture, example, mc, ojr, root, steppermotor, hi, polyorb","0.816496580927726, 0.447213595499958, 0.447213595499958, 0.447213595499958, 0.447213595499958, 0.447213595499958, 0.408248290463863, 0.408248290463863"
36,"ping, aaspe, pong, sel, event, hi, polyorb, arincexample, module, simple","7.28854137315557, 2.9214512373400936, 2.9214512373400936, 2.9214512373400936, 1.7665529111555998, 1.6856566766586323, 1.6856566766586323, 1.414213562373095, 1.414213562373095, 1.2717173660055061"
37,"integration, model, faceaadl, merged, integrationmodel, im, multiplemergedunits, selectedintegrationmodel, connectedclient, connectedserver","12.749230039927689, 12.749230039927689, 9.085319545728794, 6.8230202630454535, 5.764784236255529, 4.300909944969664, 3.7770502576047167, 3.437474924060692, 1.589268867521755, 1.589268867521755"
38,"qa, issue, top, gps, ardupilot, arch, smarthome, thermostat, accessconn, home","3.2441085225371658, 2.4185513570377557, 2.325985597592169, 1.901550191377814, 1.736628422214995, 1.6033397414932404, 1.5852417624201478, 1.571218358110582, 1.358146512223454, 1.1991420320525206"
39,"paparazzo, quadrirotorv, device, emaxxv, arm, machine, interruption, task, lgs, tpaadl","3.3023832697739324, 3.2972603799705085, 2.352734259930333, 1.6249461698591783, 1.5222074453105174, 1.1837511628064477, 1.1519780870242355, 1.1519780870242355, 1.1096816339138451, 1.1096816339138451"
40,"integration, errormodelv, car, dhsystem, device, driving, self, sys, redundant, se","5.839035117860691, 4.691626999905964, 3.1666203327219407, 2.9442221790913132, 2.8962684490612736, 2.6025762756078192, 2.6025762756078192, 2.1826014560530047, 2.0164735493447665, 1.854665055512515"
41,"example, bless, model, iomtwin, mc, missioncomputer, groundstation, uav, fc, flightcontroller","3.79227563480507, 2.5288473071125583, 2.5288473071125583, 2.0980577137796006, 1.9032656917546962, 1.9032656917546962, 1.6880247263279125, 1.4103529441538094, 1.289976099337629, 1.289976099337629"
42,"pulseox, forwarding, flowlatencysampleddata, topsystem, application, imp, bless, model, translator, allperiodicsampled","3.7438879056883536, 3.4256926905591985, 2.725017241752173, 2.1486759439225627, 1.9650357686274704, 1.9398183438357417, 1.8246045623098763, 1.8246045623098763, 1.7039322002468082, 1.6448975942237518"
43,"vehicle, ipca, ocarina, il, example, gps, interface, others, satellite, operation","1.813710991267996, 1.5413966949220772, 1.316206812225913, 0.9486832980505139, 0.9114568700854376, 0.8892885417316012, 0.8892885417316012, 0.8892885417316012, 0.8892885417316012, 0.7655371199352552"
44,"dca, resourcebudgets, tier, adiru, modelagemaadl, example, minepump, robot, car, security","3.6269873063650007, 3.6269873063650007, 3.6269873063650007, 3.5072064520749793, 3.233054618513056, 2.0808139684929725, 1.8944271909999157, 1.8944271909999157, 1.8728241457626353, 1.7651151252068193"
