Cluster,Clusters Top 10 Words (TF-IDF),Clusters Scores,Combined Top 10 Words (TF-IDF),Combined Scores
1,"isolette, ksu, sensor, single, thermostat","7.239, 3.331, 3.331, 3.331, 3.306","temp, heat, alarm, heater, loss, sensor, temperature, thermostat, air, source","1.097, 1.096, 0.844, 0.759, 0.651, 0.651, 0.651, 0.651, 0.59, 0.59"
2,"isolette, qa, agree, aviationrequirementmodeling, temperature, connectioninheritance, dual, ksu, sensor, nameresolution","6.761, 4.289, 2.615, 2.615, 2.615, 2.479, 2.254, 2.254, 2.254, 2.08","pin, sys, dataport, pout, tin, datain, dataout, nan, internetaccess, aiscommunication","2.265, 1.746, 1.601, 1.307, 1.172, 1.155, 1.155, 1.155, 1.057, 1.001"
3,"gca, singleton, aps, aviationrequirementmodeling, tank, aviation, isolette, vtv, pressurized, aviate","2.868, 2.137, 2.055, 2.008, 1.946, 1.624, 1.512, 1.33, 1.313, 1.087","temp, dataport, eth, gnss, datain, mph, dataout, distance, latitude, longitude","1.391, 0.95, 0.95, 0.95, 0.914, 0.817, 0.697, 0.671, 0.671, 0.671"
4,"smartparking, temperature, aps, aviationrequirementmodeling, aviation, architecture, communication, agree, sensor, isolette","5.424, 3.7, 3.68, 2.968, 2.453, 2.359, 2.359, 2.321, 2.256, 2.21","temperature, req, info, traveler, asc, maindataport, loca, update, alarm, personal","2.628, 2.409, 2.066, 2.035, 1.937, 1.737, 1.635, 1.613, 1.564, 1.508"
5,"tcas, aviationrequirementmodeling, aviation, singleton, single, block, ev, lgs, tpaadl, refuel","9.449, 8.474, 3.96, 3.675, 2.387, 2.141, 1.862, 1.862, 1.862, 1.741","link, bus, mph, access, timetofailure, timetorecovery, nearestintruderaltitude, cc, fpadata, nearestintrudergrounddistance","1.357, 1.327, 1.252, 1.24, 1.211, 1.211, 0.962, 0.846, 0.838, 0.794"
6,"dronecontrol, environment, hybridsynchaadl, drone, master, rendezvous, thesis, dronesystem, fourdronessystem, refdrone","4.504, 4.504, 3.687, 3.586, 3.211, 3.211, 3.211, 2.661, 0.988, 0.886","currx, curry, velx, vely, outx, outy, inx, iny, dotx, doty","4.213, 4.213, 4.101, 4.101, 3.606, 3.606, 3.593, 3.593, 2.217, 2.217"
7,"temperature, ctrl, agree, aviationrequirementmodeling, adventium, csci, gumbo, lab, plugin, controller","3.467, 3.24, 2.67, 2.67, 2.117, 2.117, 2.117, 2.117, 2.117, 1.831","radiation, pressure, env, vb, shutdown, sensor, temp, temperature, high, indicator","2.731, 2.727, 2.436, 2.385, 2.13, 2.084, 1.991, 1.987, 1.977, 1.977"
8,"aaspe, security, incorrect, r5, cwe, correct, r4, requirement, timing, errormodelv","5.95, 5.95, 4.38, 4.035, 3.645, 3.003, 2.882, 1.82, 1.82, 0.707","f1, f2, pr, d1, d2, nan, pd, pe, t1, t2","3.464, 3.464, 3.464, 1.732, 1.732, 1.732, 0.663, 0.663, 0.221, 0.221"
9,"home, smart, air, ex, arch, client, ocarina, maincontrolrouter, remoteserver, model","4.132, 3.867, 3.862, 3.862, 2.599, 2.16, 1.905, 1.744, 1.744, 1.704","data, client, e1, mcr, receiver, sender, pout, p1, controller, control","4.272, 2.99, 2.422, 2.273, 2.136, 2.136, 1.681, 1.449, 1.315, 1.312"
10,"qa, issue, aaspe, security, test, r1, receiver, correct, arch, generator","2.925, 2.349, 1.883, 1.883, 1.639, 1.603, 1.425, 1.09, 0.902, 0.902","nan, infeat, outfeat, sc, s1, s2, ineventport, myprogsubc, outdataport, outeventport","2.038, 1.868, 1.868, 0.965, 0.661, 0.661, 0.5, 0.5, 0.5, 0.5"
11,"view, fullspeed, iplprojects, task, tasklibrary, map, wempty, char, rot, simple","6.776, 6.736, 6.736, 6.736, 6.736, 6.495, 6.451, 4.497, 4.454, 3.977",,
12,"hi, polyorb, consumer, producer, scenario, ocarina","4.242, 4.242, 4.185, 4.185, 4.185, 0.842",,
13,"device, test, missing, property, translator, abstract, noninpulseox, simplecapnograph, simplepca, smartparkingsystem","3.845, 2.751, 2.685, 2.189, 1.757, 1.572, 0.979, 0.979, 0.979, 0.96","d1, status, re, data, rse, sub, setting, metric, spo, signal","2.172, 1.979, 1.796, 1.615, 1.307, 0.958, 0.87, 0.825, 0.66, 0.61"
14,"hi, polyorb, scenario, type","3.5, 3.5, 3.5, 3.5",,
15,"test, hi, polyorb, scenario, flight, management, issue, qa, subcompo, ptest","3.024, 2.672, 2.672, 2.672, 2.084, 2.084, 1.512, 1.512, 1.512, 1.242",,
16,"cmpare, model, bless, integration, collection, toll, mecelearningsystem, payment, positioncontrol, positioncontrolsystem","2.938, 2.739, 1.577, 1.475, 1.45, 1.45, 1.432, 1.395, 1.337, 1.337","get, send, actuatorcommand, positionsetpoint, info, user, port, name, product, engine","5.782, 2.181, 2.016, 2.016, 1.971, 1.904, 1.883, 1.502, 1.409, 1.363"
17,"toll, rap, collection, electronictollcollection, model, scenario, isolette, ocarina, bless, communication","4.136, 3.788, 3.583, 3.583, 2.295, 2.077, 2.077, 1.999, 1.759, 1.687","toll, paymnt, temperature, port, alarm, selected, data, veh, radar, weapon","4.239, 3.593, 2.699, 2.278, 1.833, 1.618, 1.404, 1.37, 1.347, 1.332"
18,"modelagemaadl, exemplo, resourcebudgets, sc, dc, tier, qa, mysystem, singletier, sistema","6.868, 5.242, 4.854, 4.134, 3.982, 3.918, 2.926, 2.391, 2.361, 2.276","canbusaccess, power, sensorin, potencia, actuatorout, sc, sensor, sensorout, dca, nan","7.688, 7.365, 7.346, 6.151, 4.725, 2.654, 2.356, 2.356, 2.33, 1.885"
19,"resourcebudgets, modelagemaadl, sc, tier, dc, example, model, platform, dualtier, singletier","11.724, 10.833, 6.492, 6.351, 6.311, 5.916, 5.708, 5.123, 4.762, 4.762","power, sensorin, pci, canbusaccess, bus, actuatorout, afdx, cb, pc, cpu","21.951, 12.575, 11.527, 8.649, 6.564, 6.35, 5.346, 4.535, 3.73, 3.678"
20,"aaspe, security, r0, r6, issue, qa, correct, incorrect, ocarina, test","2.64, 2.64, 1.776, 1.776, 1.704, 1.704, 1.23, 1.23, 1.186, 1.186","mybus, nan, b1, b2, cab, cont, p0, p1, ba, bus","5.264, 1.923, 0.921, 0.921, 0.707, 0.707, 0.603, 0.603, 0.577, 0.577"
21,"test, qa, impl, package, refined, dual, flowlatencysampleddata, hardwareplatform, dist, kaadl","4.18, 2.185, 2.09, 2.09, 2.09, 1.341, 1.147, 1.147, 1.081, 0.906","bus, comp, proc, access, db, card, connector, heat, sub, cpu","4.534, 2.741, 2.741, 2.558, 1.699, 1.273, 1.273, 0.838, 0.712, 0.699"
22,"aaspe, security, cwe, integration, success, r7, fail, failure, float, flying","5.206, 5.206, 3.933, 3.62, 3.607, 3.539, 1.86, 1.785, 1.268, 1.039","datain, dataout, nan, thebus, node, intermediate, receiver, sender, http, ssl","6.887, 6.709, 5.829, 3.702, 2.91, 1.851, 1.851, 1.851, 1.805, 1.255"
23,"issue, qa, errormodelv, fgs, app, deformation, drone, inspect, network, structural","2.046, 2.046, 1.878, 1.599, 1.326, 1.209, 1.209, 1.209, 1.209, 1.209","outport, port, inport, fromapport, subthread, process, ap, sub, soft, uavnetwork","3.697, 3.509, 2.683, 1.306, 1.17, 1.107, 1.018, 0.993, 0.835, 0.835"
24,"ocarina, qa, issue, s2, test, basic, top, connectiontiming, deployment, kaadl","2.546, 2.366, 1.64, 1.409, 1.198, 1.016, 1.016, 0.86, 0.707, 0.707","inp, outp, nan, mysink, mysrc, p1, p2, t1, t2","2.819, 2.819, 1.628, 1.262, 1.262, 1.151, 1.151, 1.151, 1.151"
25,"hi, polyorb, rma, scenario","4.0, 4.0, 4.0, 4.0",,
26,"aps, architecture, communication, rcc, ism, networkandsystemmanagement, asc, qa, clientserver, 15","3.531, 2.206, 2.131, 1.114, 1.09, 1.09, 1.066, 0.963, 0.756, 0.707","veth, dataport, et, asc, eth, nicteaming, teamedeth, maindataport, rse, sin","2.115, 1.904, 1.447, 1.116, 1.107, 1.057, 1.057, 0.854, 0.802, 0.746"
27,"aps, architecture, communication, rcc, navigationsystem, apscommunication, withredundancy, id, controlcomputer, backup","5.695, 3.685, 3.685, 2.104, 2.022, 1.799, 1.564, 1.337, 1.217, 1.074","eth, dataport, asc, controlport, maindataport, external, backupdataport, interrupt, xenbr, veth","6.574, 2.613, 2.527, 1.997, 1.93, 1.173, 1.025, 0.978, 0.869, 0.854"
28,"hi, ping, polyorb, scenario, 10, 11, 12, 13","5.623, 5.623, 5.623, 5.623, 0.827, 0.827, 0.827, 0.827",,
29,"test, issue, qa, demo, designer, ocarina, spg","4.233, 2.524, 2.524, 0.678, 0.678, 0.608, 0.608",,
30,"ocarina, t9","3.252, 0.968","e1, e2, s1, s2, s3","0.832, 0.277, 0.277, 0.277, 0.277"
31,"map, iplprojects, mapa, mapb","4.33, 2.541, 0.847, 0.847","edge, l1, l2, l3, l4, l5, l6, l7, l8, c1","5.67, 0.578, 0.578, 0.578, 0.578, 0.578, 0.578, 0.578, 0.564, 0.288"
32,"hi, polyorb, scenario, ocarina, d3, aps, import, monitor, duplicate, issue","2.701, 2.701, 2.701, 2.401, 2.288, 0.756, 0.715, 0.715, 0.707, 0.577",,
33,"hi, polyorb, scenario, sunseeker","2.5, 2.5, 2.5, 2.5",,
34,"isolette, ksu, sensor, dual, single","4.11, 1.37, 1.37, 1.171, 0.909",,
35,"rma, rmaaadl, ocarina, erc, hi, polyorb, test, real, cpp, local","9.209, 8.642, 6.818, 6.559, 5.644, 5.644, 5.064, 3.017, 2.273, 2.14","step, p1, p2, p3, thread, commanded, order, po, hardware, p4","0.649, 0.408, 0.408, 0.408, 0.408, 0.324, 0.324, 0.324, 0.204, 0.204"
36,"ping, aaspe, sel, ocarina, pong, hello, test, qa, root, hi","7.974, 4.126, 4.126, 3.731, 3.061, 2.617, 2.554, 2.123, 2.123, 2.019","data, con, prod, runtime, port, sink, source, cpu, ping, pinger","5.441, 3.538, 3.538, 3.538, 3.502, 2.787, 2.787, 2.714, 2.624, 2.584"
37,"integration, model, faceaadl, merged, integrationmodel, im, multiplemergedunits, selectedintegrationmodel, connectedclient, connectedserver","12.749, 12.749, 9.085, 6.823, 5.765, 4.301, 3.777, 3.437, 1.589, 1.589","input, output, altitude, thread, conn, transporter, port, channel, request, response","14.312, 14.312, 9.39, 7.868, 6.07, 5.341, 4.701, 3.547, 3.401, 3.401"
38,"qa, issue, top, test, gps, ardupilot, arch, complete, fault, fta","3.691, 2.789, 2.383, 2.004, 1.926, 1.744, 1.69, 1.65, 1.65, 1.65","oute, gps, ba, ine, temp, port, pb, usb, desired, control","4.348, 2.793, 1.527, 1.276, 1.163, 0.964, 0.957, 0.894, 0.872, 0.869"
39,"paparazzo, quadrirotorv, device, emaxxv, arm, bar, foo, model, machine, interruption","3.31, 3.299, 2.375, 1.626, 1.52, 1.399, 1.399, 1.259, 1.186, 1.151","data, bus, input, output, wire, serial, meas, access, manager, evt","3.976, 3.652, 3.106, 3.095, 3.009, 2.925, 2.183, 2.177, 2.046, 1.739"
40,"integration, errormodelv, car, dhsystem, device, driving, self, radar, sys, redundant","5.845, 4.703, 3.169, 2.947, 2.899, 2.602, 2.602, 2.38, 2.184, 2.017","valuein, valueout, speed, sensor, distance, data, cmd, access, current, cpu","6.583, 5.591, 5.386, 3.055, 2.544, 2.215, 1.908, 1.803, 1.777, 1.754"
41,"example, bless, model, iomtwin, mc, missioncomputer, groundstation, imp, uav, fc","3.853, 2.911, 2.911, 2.166, 1.897, 1.897, 1.678, 1.508, 1.41, 1.285","data, recv, alarm, uart, send, status, po, ph, position, apex","2.423, 2.285, 2.283, 2.236, 2.2, 1.902, 1.798, 1.683, 1.659, 1.61"
42,"pulseox, forwarding, flowlatencysampleddata, topsystem, application, imp, bless, model, translator, allperiodicsampled","3.744, 3.426, 2.725, 2.149, 1.965, 1.94, 1.825, 1.825, 1.704, 1.645","spo, ined, outed, alarm, derivedalarm, compute, tstep, xl, db, updatespothread","5.076, 4.83, 4.83, 2.551, 2.551, 2.003, 2.003, 1.625, 1.548, 1.325"
43,"isolette, vehicle, ipca, operation, example, sensor, interface, ocarina, temperature, 16","2.245, 1.847, 1.669, 1.65, 1.582, 1.463, 1.357, 1.346, 1.104, 0.965","command, position, disengage, engage, data, observation, wakeup, heat, rate, mygps","1.937, 1.297, 1.11, 1.11, 1.004, 0.985, 0.985, 0.878, 0.738, 0.696"
44,"dca, resourcebudgets, tier, adiru, modelagemaadl, ocarina, example, smartparking, minepump, robot","3.646, 3.646, 3.646, 3.518, 3.216, 2.641, 2.274, 1.913, 1.894, 1.894","sensorin, acc, actuatorout, samplingin, senseout, controlin, key, wateralarm, thread, external","4.654, 3.637, 2.327, 2.327, 2.327, 1.62, 1.287, 1.274, 1.229, 1.208"
